letterInfo_ID,post_ID,letter_date,letter_dbdate,manuscript_location,letter_fromAddress,letter_footnote
2482,2534,Aug 4th 1875,1875-08-04,"MS Princeton University, Parrish Collection C0171: Box 29","Elderfield, Otterbourne, Winchester.","[[footnote:1]]Although Augusta Frere signed several contributions of fiction to <i>MP</i>, and her cousin Emily Frere some non-fiction, the story is not identifiable.<br/>"
2483,2535,Sept 13 1875,1875-09-13,"MS fragment Girton College Cambridge, Yonge X 2","Elderfield, Otterbourne, Winchester","[[footnote:1]]The Rt. Rev. Allan Becher Webb (1839-1907), Bishop of Bloemfontein (1870-1883).  The article was \'The Work of Women at Home for Foreign Missions (A Paper read by the Bishop of Bloemfontein at Rugby, July 8, 1875)\', <i>MP</i> ns 20 (November 1875) 397-403.

<br/>"
2484,2536,"September 21, 1875.",1875-09-21,"MS location unknown.  Printed in Coleridge, [[otherbook:40]<i>Life</i>] p.322","Elderfield, Otterbourne, Winchester, ",<br/>
2485,2537,Sept 29th [1875],1875-09-29,MS UCLA: collection 100: box 95322[[footnote:1]],"Elderfield, Otterbourne, Winchester.",[[footnote:1]]Envelope addressed to ‘Miss Peterson/Cliff Cottage/The Lees/Folkestone’ and postmarked Winchester E SP 29 75.
3446,3498,Oct 15th  [1875-8?],1875-10-15,MS???,,"[[footnote:2]]Black-edged paper.

[[footnote:2]]Hannah (Rogers) Carey (b. 1838/9) was the widow of CMY’s cousin James Arthur Yonge (1822-1864), and lived at Botley, Hants. with her second husband Charles Egerton Carey. She had evidently written to congrat"
3680,20049,Oct 15th  [1875-8?],1875-10-15,MS??,,
3474,3526,Oct 21st [after 1875[[footnote:1]]],1875-10-21,"MS Princeton University, Parrish Collection",,"[[footnote:1]]The Girls’ Friendly Society was founded in 1875, and Diocesan Conferences seem to have started in Winchester diocese in 1877.

[[footnote:2]]CMY was accustomed to address Bishops with great respect, and the informal tone of this letter thus rules out several with whom she was acquainted.  Perhaps [[person:1382]George Henry Sumner], who was appointed suffragan Bishop of Guildford in late 1888, is the most likely candidate.

<br/>"
3617,18775,Oct 24th [1875][[footnote:1]],1875-10-24,"MS Special Collections, University of Virginia Library[[footnote:2]]",Elderfield,"[[footnote:1]]The Rt. Rev. Alexander Forbes, whose recent death is referred to in the letter, died on 8 October 1875.

[[footnote:2]]The letter is endorsed in another hand \'To be torn up. You shall hear if further information is sent by CY or anyone else.  Would not your uncle Roland be an authority on the subject?  Yr. loving cousin Fanny\'

[[footnote:3]]CMY\'s cousin [[person:1611]George Yonge] lived at Bishopstoke with his wife Lucy.  It has been assumed that the Sir Richard referred to here is General Sir Richard Wilbraham, brother of Fanny Wilbraham, and that the letter is therefore addressed to her.

[[footnote:4]]Goodenough was a naval officer who died on 20 August 1875 as a result of an arrow wound sustained in a fight with natives of the Santa Cruz Islands (where [[person:1155]Bishop Patteson] had also died)."
2486,2538,Novr 8th 1875,1875-11-08,MS Plymouth and West Devon Area Record Office Ac 1092/29,"Elderfield, Otterbourne, Winchester.",
3444,3496,Decr 17th [1875][[footnote:1]],1875-12-17,"MS Princeton University, Parrish Collection C0171: Box 29","\'Monthly Packet\'  6, Paternoster Row, London, E.C.","[[footnote:1]]The letter can probably be dated between the deaths of Keble’s brother, the Rev. Thomas Keble (1793-5 September 1875), and of Sir John Taylor Coleridge (1790-11 February 1876).  It is possible though that the elder Thomas Keble was still living when it was written, but the mid-1870s are still the most likely period (Keble had died in March 1866).<br/>"
3492,3544,Decr 28th [after 1875],1875-12-28,MS  UCLA: collection 100: box 95,"Elderfield, Otterbourne, Winchester.","[[footnote:1]]This is guesswork, but Mary Anderson Morshead was a great organizer of girls and of amateur dramatics, and seems a likely recipient of this letter. The letter must obviously date from after the foundation of the Girls\' Friendly Society in 1875, and more likely from the late 1880s.

<br/>"
2468,2520,Jany 6th 1875 [1876],1876-01-06,MS Mrs Julia Birley/1,"Elderfield, Otterbourne, Winchester.","[[footnote:1]]The opening of this letter refers to the [[other:104]Gosling Society], of which Geraldine Butt was a member, as \'Staddacombe\'.  

[[footnote:2]]\'What have been the principal religions of the world, ancient and modern?\' was one of the essay questions set to the Spider Society in December 1875.<br/>"
2488,2540,Jany 29th 1876,1876-01-29,"MS Humanities Research Center, University of Texas, Austin, Charlotte M. Yonge collection/4","Elderfield, Otterbourne, Winchester.","[[footnote:1]]Greene had contributed a story, \'The Haunted Sacks\' to <i>MP</i> (Christmas 1875) which was reprinted in her [[otherbook:870]<i>God\'s Silver, or, Youthful Days</i>] (1877). <br/>"
2489,2541,Febry 12th 1876,1876-02-12,MS fragment Plymouth and West Devon Area Record Office Acc No 308: 12-2-76,"Elderfield, Otterbourne, Winchester.’",[[footnote:1]]Sir John Taylor Coleridge had died on 11 February.  The sentence probably went to say that now Mary\'s [[person:1623]father] had only his sister Jane Harris surviving among his contemporaries.<br/>
2491,2543,Feb 26th 1876,1876-02-26,MS Plymouth and West Devon Area Record Office Ac 1092/30,"Elderfield, Otterbourne, Winchester.",<br/>
2490,2542,Febry 26th 1876,1876-02-26,MS British Library Add MSS 54921: 11[[footnote:1]] ,,[[footnote:1]]Endorsed  \'See my letter. Feb 29/1\'.[[footnote:2]]This question is likely to have been prompted by anxiety about the financial situation of CMY\'s brother [[person:1624]Julian].<br/>
2494,2546,March 3d 1876,1876-03-03,"MS Bodleian Library, Oxford: MSS. Autogr. MSS. Autogr.  d. 33 ff 245-6","Elderfield, Otterbourne, Winchester.","[[footnote:1]]This was the additional chapter of [[cmybook:19]<i>Heartsease</i>] which explained what happened to the characters.

[[footnote:2]]A. C. Owen, who had contributed articles on \'Christian Art\' to <i>MP</i> in 1874-5, had just published [[otherbook:871]<i>The Arts Schools of Mediæval Christendom</i>] edited by John Ruskin (London: Mozley & Smith 1876). He had commended the volume of <i>MP</i> containing these articles in a lecture later published in his <i>The Pleasures of England</i> (1884).  CMY does not seem to have recommended it in <i>MP</i>, however."
