cmy_bookID,title,date,genre_old,genre,category,format,publisher,serialization,illustrator,notes,display_title,sort_title,","
167,<i> Shakespeare’s Plays for Schools. </i> Prepared and annotated for school use by Charlotte M. Yonge. 5 vols,1883-5,Non-fiction: edited drama,Non-fiction: edited drama,Editorial work and prefaces,"Book, 5 vols","London: National Society’s Depository, Broad Sanctuary, Westminster.",NA,NA,"Contains <i>Henry IV</i> parts I and II, <i>Henry V, Richard II </i>and <i>Julius Caesar.</i>", Shakespeare’s Plays for Schools. Prepared and annotated for school use by Charlotte M. Yonge. 5 vols, Shakespeare’s Plays for Schools. ,
168,"<i>Aunt Charlotte’s Stories of American History for the Little Ones</i>. By Charlotte M. Yonge and H. Hastings Weld, D.D..",1883,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"London: Marcus Ward & Co., Chandos St, W.C. ; and at Belfast and New York",NA,Illustrated,NA,"Aunt Charlotte’s Stories of American History for the Little Ones. By Charlotte M. Yonge and H. Hastings Weld, D.D..",Aunt Charlotte’s Stories of American History for the Little Ones,
169,"<i> English Church History, Adapted for Use in Day and Sunday Schools and for General Family Reading</i>.   By Charlotte M. Yonge, author of “The Heir of Redclyffe.”",1883,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"London. National Society’s Depository,  Sanctuary, Westminster.",NA,Illustrated,NA," English Church History, Adapted for Use in Day and Sunday Schools and for General Family Reading.   By Charlotte M. Yonge, author of “The Heir of Redclyffe.”"," English Church History, Adapted for Use in Day and Sunday Schools and for General Family Reading",
170,"<i>Stray Pearls: Memoirs of Margaret de Ribaumont, Viscountess of Bellaise</i>. 2 vols",1883,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,Serialized in<i> MP</i> Jan 1881-May 1883,Illustrated by W.J. Hennessy.,This is a sequel to <i>The Chaplet of Pearls.</i>,"Stray Pearls: Memoirs of Margaret de Ribaumont, Viscountess of Bellaise. 2 vols","Stray Pearls: Memoirs of Margaret de Ribaumont, Viscountess of Bellaise",
171,"<i>Armourer’s \'Prentices, The</i>",1883,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,Serialized in the <i>English Illustrated Magazine</i> Oct 1883-Aug 1884,NA,NA,The Armourer’s \'Prentices,Armourer’s \'Prentices,
172,"<i>Landmarks of Recent History, 1770-1883.</i>",1883,Non-fiction: history,Non-fiction: history,Non-fiction,Book,"Walter Smith, 34 King Street, Covent Garden, London.",NA,NA,NA,"Landmarks of Recent History, 1770-1883.","Landmarks of Recent History, 1770-1883.",
173,"<i>Spring Buds: Counsels for the Young</i>. Translated and abridged from the French, by E. L. E. B. With a preface by Charlotte M. Yonge.",1883,Non-fiction: advice book (by another),Non-fiction: advice book (by another),Editorial work and prefaces,Preface  to book,"London: J. Masters & Co., 78, New Bond Street",NA,NA,E.L.E.B..is possibly CMY’s neighbour Ella L.E.Burlton.,"Spring Buds: Counsels for the Young. Translated and abridged from the French, by E. L. E. B. With a preface by Charlotte M. Yonge.",Spring Buds: Counsels for the Young,
174,<i>Cameos from English History: V. England and Spain.</i> By the author of “The Heir of Redclyffe.”,1883,Non-fiction: history,Non-fiction: history,Non-fiction,Book,London and New York: Macmillan and Company.,"Individual cameos appeared in<i> MP</i>, irregularly from 1856 to 1889.",NA,NA,Cameos from English History: V. England and Spain.By the author of “The Heir of Redclyffe.”,Cameos from English History: V. England and Spain.,
175,<i>Faith: Scripture Texts and Sacred Song.</i>,1884,Non-fiction: theology,Non-fiction: theology,Editorial work and prefaces,Edited selection,"Griffith and Farran, London.",NA,NA,NA,Faith: Scripture Texts and Sacred Song.,Faith: Scripture Texts and Sacred Song.,
176,<i>Hope: Scripture Texts and Sacred Song.</i>,1884,Non-fiction: theology,Non-fiction: theology,Editorial work and prefaces,Edited selection,"Griffith and Farran, London.",NA,NA,NA,Hope: Scripture Texts and Sacred Song.,Hope: Scripture Texts and Sacred Song.,
177,<i>Mercy and Peace: Scripture Texts and Sacred Song.</i>,1884,Non-fiction: theology,Non-fiction: theology,Editorial work and prefaces,Edited selection,"Griffith and Farran, London.",NA,NA,NA,Mercy and Peace: Scripture Texts and Sacred Song.,Mercy and Peace: Scripture Texts and Sacred Song.,
178,<i>Charity: Scripture Texts and Sacred Song.</i>,1884,Non-fiction: theology,Non-fiction: theology,Editorial work and prefaces,Edited selection,"Griffith and Farran, London.",NA,NA,NA,Charity: Scripture Texts and Sacred Song.,Charity: Scripture Texts and Sacred Song.,
179,"<i>Memoirs of Marshal Bugeaud from his private correspondence and original documents 1784-1849.</i>  By the Count H. D’Ideville. Edited from the French by Charlotte M. Yonge,  2 vols",1884,Edited translation,Edited translation,Editorial work and prefaces,Edited book,"London : Hurst and Blackett, 13 Great Marlborough Street.",NA,NA,Probably translated by Julian Bargus Yonge.,"Memoirs of Marshal Bugeaud from his private correspondence and original documents 1784-1849.By the Count H. D’Ideville. Edited from the French by Charlotte M. Yonge,  2 vols",Memoirs of Marshal Bugeaud from his private correspondence and original documents 1784-1849.,
180,"<i>Higher Reading-Book for Schools, Colleges and General Use.</i> Edited with introduction and notes by Charlotte M. Yonge.",1885,Non-fiction: edited selection,Non-fiction: edited selection,Editorial work and prefaces,Edited book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"Higher Reading-Book for Schools, Colleges and General Use.Edited with introduction and notes by Charlotte M. Yonge.","Higher Reading-Book for Schools, Colleges and General Use.",
181,"<i>English History Reading Books, Adapted to the Requirements of the New Code</i>. With “the Advanced Part”.",1885,"Non-fiction, history, edited selection","Non-fiction, history, edited selection",Editorial work and prefaces,Edited book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,NA,"English History Reading Books, Adapted to the Requirements of the New Code. With “the Advanced Part”.","English History Reading Books, Adapted to the Requirements of the New Code",
182,‘Pixie Lawn’ in <i>Please Tell me a Tale: A Collection of Short Original Stories for Children from Four to Ten Years of Age  </i>,1885,Fiction,Fiction,Fiction,Story in collection,London: Skeffington & Son,NA,NA,NA,‘Pixie Lawn’ in Please Tell me a Tale: A Collection of Short Original Stories for Children from Four to Ten Years of Age,‘Pixie Lawn’ in Please Tell me a Tale: A Collection of Short Original Stories for Children from Four to Ten Years of Age,
183,<i>Nuttie’s Father.</i>,1885,Fiction (modern),Fiction (modern),Fiction,Book,London and New York: Macmillan and Company.,NA,NA,NA,Nuttie’s Father.,Nuttie’s Father.,
184,"<i>Two Sides of the Shield, The</i> By Charlotte M. Yonge, author of “The Heir of Redclyffe,” “Unknown to History,” etc.. 2 vols.",1885,Fiction (modern),Fiction (modern),Fiction,"Book 8vo 2 vols 208, 209 pp",London: Macmillan and Co.,Serialized in<i> MP</i> Jan 1884-Jun 1885,NA,This is a sequel to <i>Scenes and Characters </i>and <i>The Stokesley Secret.</i>,"The Two Sides of the ShieldBy Charlotte M. Yonge, author of “The Heir of Redclyffe,” “Unknown to History,” etc.. 2 vols.",Two Sides of the Shield,
185,"<i>Modern Telemachus, A</i>",1886,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,"Serialized in<i> MP</i>, as “A Modern Quest of Ulysses”, Jan-Dec 1886",Illustrated by W. J. Hennessy.,NA,A Modern Telemachus,Modern Telemachus,
186,"<i>Chantry House</i>.  By Charlotte M. Yonge. author of “The Heir of Redclyffe,” “Unknown to History,” etc.. 2 vols",1886,Fiction (modern),Fiction (modern),Fiction,Book,London and New York: Macmillan and Co.,NA,NA,NA,"Chantry House.  By Charlotte M. Yonge. author of “The Heir of Redclyffe,” “Unknown to History,” etc.. 2 vols",Chantry House,
187,"<i>Little Rick-Burners, The</i>",1886,Fiction,Fiction,Fiction,Booklet,"London: William Skeffington, 163 Piccadilly.",NA,NA,NA,The Little Rick-Burners,Little Rick-Burners,
188,"<i>Talisman, The</i> by Sir Walter Scott, preface by CMY, edited by Dwight Holbrook",1886,Non-fiction: criticism,Non-fiction: criticism,Editorial work and prefaces,Preface to book,Boston: Ginn & Co.,NA,NA,"Like <i>Quentin Durward</i>, this appeared in Ginn’s ‘Classics for Children’ series.","The Talismanby Sir Walter Scott, preface by CMY, edited by Dwight Holbrook",Talisman,
189,"<i>Victorian Half-Century: A Jubilee Book, The</i> By Charlotte M. Yonge, author of ‘<i>The Heir of Redclyffe</i>,’ ‘<i>Unknown to History</i>,’ etc..",1886,Non-fiction: history,Non-fiction: history,Non-fiction,Book,London and New York: Macmillan and Company,NA,With a portrait of her Majesty the Queen,The preface is dated December 1886.  This is a historical survey of Queen Victoria’s reign.,"The Victorian Half-Century: A Jubilee BookBy Charlotte M. Yonge, author of ‘The Heir of Redclyffe,’ ‘Unknown to History,’ etc..",Victorian Half-Century: A Jubilee Book,
