"general_bookID","author_surname","author_prefix","author_first_name","author_suffix","title","vols","imprint","date","notes"
"1071","Whitaker","","Evelyn","","<i>Our Little Ann</i>","1","London: Walter Smith","1885",""
"1072","Whitaker","","Evelyn","","<i>Pen</i>","1","London: Smith and Innes","1888",""
"1073","Levy","","Amy","","<i>Reuben Sachs: A Sketch</i>","1","London: Macmillan","1888",""
"1074","Goodwin","The Rt. Rev.","Harvey","","<i>The Foundations of the Creed</i>","1","London: Murray","1889",""
"1075","Durton","","Miss","","\'Ottavia\' ","1","<i>MP</i>  (July 1887),  87-96.","1887","Published under the pseudonym \'E.Vere\'."
"1076","Durton","","Miss","","\'A Good Friday Procession at Grassina\'  ","1","<i>MP</i> (April 1890) 371-6.","1890","Published under the pseudonym \'E.Vere\'. "
"1077","Dickens","","Charles","","<i>The Life and Adventures of Martin Chuzzlewit</i>","1","London: Chapman and Hall","1843-1844",""
"1078","Watts","The Rev. Dr","Isaac","","<i>Divine Songs, attempted in Easy Language  for the Use of Children</i>","1","London: Lawrence","1715",""
"1079","Rundle Charles","","Elizabeth","","<i>Against the Stream : The Story of An Heroic Age in England</i>","3","London: Strahan","1873",""
"1080","Rundle Charles","","Elizabeth","","<i>Chronicles of the Schonberg Cotta Family</i>","1","London: Nelson","1864",""
"1081","More","","Hannah","","<i>The History of Diligent Dick, or, Truth Will Out, though it be Hid in a Well</i>","1","London: Evans","1829?","One of the Cheap Repository Tracts."
"1082","More","","Hannah","","<i>The History of Hester Wilmot, or, The New Gown</i>","1","London: Marshall","1796",""
"1083","More ","","Hannah","","<i>Black Giles, the Poacher, with some Account of a Family who had rather live by their Wits than their Work</i>","1","London: Marshall","1796","One of the Cheap Repository Tracts"
"1084","Browne","The Rt. Rev.","Edward Harold","","<i>The Pentateuch and the Elohistic Psalms,  in reply to Bishop Colenso: five lectures delivered in the University of Cambridge</i>","1","London: Longman","1864",""
"1085","Gaye","","Selina","","\'A Storm in a Tea-Cup\'","1","<i>MP</i> (July 1889-June 1890).","1889-1890",""
"1086","Heathcote","","Grace","","\'A Guiding Principle in Art\'","1","<i>MP</i> (August 1889), 169-178.","1889",""
"1087","Leigh-Fry","","E. N.","","<i>Shreds and Patches, or, Passages from the Lives of the Molyneuxes</i>","1","London: Smith and Innes","1890","Pseudonym of Ella Napier Lefroy."
"1088","Necker de Saussure","","Albertine Adrienne","","<i>L’Éducation progressive, ou, Étude du cours de la vie</i> ","1","Paris: Sautelet","1828",""
"1089","Sandford","","Elizabeth","","<i>Thomas Poole and His Friends</i> ","2","London: Macmillan","1888",""
"1090","Latimer","","Elizabeth (Wormeley)","","\'The Story of an Elf who Won a Soul\'","1","<i>MP</i> (Christmas 1889), 197-220.","1889",""
"1091","","","","","<i>A New English Dictionary on Historical Principles</i>","12","Oxford: Oxford University Press","1928",""
"1092","Peard","","Frances Mary","","<i>The Blue Dragon</i>","1","London: National Society","1890","
"
"1093","Peard","","Frances Mary","","<i>Paul\'s Sister</i>","3","London: Bentley","1889",""
"1094","Bramston","","Mary Eliza","","<i>The Apples of Sodom</i>","2","London: Walter Smith","1889",""
"1095","Oswald","","Elizabeth Jane","","‘Sketches of Old Norse Literature’","1","<i>MP</i> (January-December 1890)","1890",""
"1096","","","","","<i>The Journal of General Sir Martin Hunter and some letters of his wife Lady Hunter</i> put together by their daughter Miss A. Hunter and Miss Bell ","1","Edinburgh: Edinburgh University Press","1894",""
"1097","Hook","The Very Rev.","Walter Farquhar","","<i>A Church Dictionary</i> ","1","Leeds: Harrison","1840",""
"1098","Peard","","Frances Mary","","<i>Princess Alethea</i>","1","London: Bell","1883","Serialized in <i>Aunt Judy’s Magazine</i> (January-December 1879)."
"1099","Bramston","","Mary Eliza","","<i>The Thorn Fortress: A Tale of the Thirty Years\' War</i>","1","London: SPCK","1879",""
"1100","Guizot","","Francois","","<i>Histoire de la révolution d\'Angleterre depuis l\'avènement de Charles 1er jusqu\'à la restauration de Charles II</i>","2","Paris: Leroux","1826-1827","	"
