persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
1926,Grant,Francis,Sir,,,,(1803-1878),painter,He was knighted in 1866.
1927,Millais,Euphemia Chalmers,,(Gray),,,(1828-1897),,"She married first (1846) John Ruskin and, after the annulment of that marriage on grounds of non-consummation, secondly (1856), John Everett Millais. He was created 1st baronet in 1885."
1928,Boxall,William,,,,,(1800-1879),Director of the National Gallery,
1929,Vaughan,Catherine Maria,,(Stanley),,,(1821-1899),"editor, wife of the Rev. C. J. Vaughan ",
1930,Bell,George,,,,,(1814-1890),"publisher, of George Bell & Sons, and of Bell & Daldy",
1931,Arbesser,Rose,,,,,,German governess to Princess Margherita of Savoy,"Identified from the letter quoted by Coleridge, <i>Life</i>, 348-50."
1932,Wilson,George,Dr,,,,(1818-1859),"chemist, museum director and science writer","CMY had probably read John Cairns, \'The late Dr. George Wilson, of Edinburgh\' <i>Macmillan\'s Magazine</i> I (1860) 199-203."
1933,Sutcliffe,James,,,,,(d.1878),"Principal of the Hindu (later Presidency) College Calcutta 1852-76, and Director of Public Instruction for Bengal 1876-78","He wrote to CMY about the publication in India of <i>Landmarks of History: Ancient History</i>, and his handwriting was so bad that she mistook his name for Ratcliffe.

British Library OIOC MSS Eur Photo Eur 232 consists of copies of letters from James Sutcliffe to his mother and family in England. "
1934,Helmore,Kate Wilson,,(Pridham),,,(1816/7-1886),mother of Katherine Olive Helmore,"She was the wife of the Rev. Thomas Helmore (1811-1890), Precentor of St. Mark\'s College Chelsea and master of the choristers of the Chapel Royal, and her sister was married to Derwent Coleridge. "
1935,Livingstone,David,Dr,,,,(1813-1873),missionary and explorer,
1936,Hemans,Felicia Dorothea,,(Browne),,,(1793-1835),poet,
1937,Appleton,William Henry,,,,,(1814-1899),"American publisher, of Daniel Appleton and Co.",
1939,Cleveland,Sarah Paine,,(Perkins),,,(d.1893),mother of Eliza Callahan Cleveland,"Mother and daughter were friends of Elizabeth Sewell\'s; see her autobiography (1907), 159, 208. See also <i>A Selection from the Writings of Henry R. Cleveland, with a Memoir</i> (Boston: private distribution 1844).  She married Henry Russell Cleveland (1808-1843) in 1838 and they had one daughter (b. 1839).  She was the sister of the art collector Edward Newton Perkins (1820-1899) and she and her daughter were with him in Perugia in 1859 when they were attacked by local revolutionaries, causing a diplomatic incident.

A large collection of their papers is in the New York Public Library."
